,length,score
820,410,0
821,663,1
822,475,2
823,348,0
824,1196,7
825,1214,0
826,240,0
827,2741,1
828,1124,0
829,401,1
830,1378,4
831,1080,0
832,1173,1
833,327,1
834,652,8
835,367,1
836,503,1
837,227,5
838,1172,0
839,418,1
840,124,0
841,348,0
842,3130,2
843,1604,0
844,1199,1
845,291,3
846,428,1
847,1997,0
848,700,0
849,802,0
850,1536,1
851,554,0
852,1791,1
853,392,1
854,875,1
855,495,1
856,139,0
857,383,1
858,782,2
859,128,1
860,1110,2
861,1133,2
862,772,3
863,293,0
864,397,1
865,207,0
866,2766,19
867,2153,2
868,139,2
869,111,1
870,524,0
871,1515,1
872,3117,0
873,629,1
874,584,0
875,1274,0
876,390,4
877,1033,2
878,1197,16
879,97,1
880,429,1
881,1262,1
882,293,5
883,623,3
884,635,0
885,236,0
886,304,1
887,654,1
888,520,1
889,397,6
890,291,0
891,43,0
892,576,0
893,421,0
894,373,3
895,361,1
896,539,0
897,414,0
898,439,1
899,799,5
900,349,-1
901,1251,2
902,269,0
903,1847,226
904,515,0
905,122,3
906,815,0
907,441,6
908,430,1
909,696,6
910,458,3
911,529,0
912,1863,1
913,510,0
914,260,0
915,239,2
916,489,3
917,188,0
918,1418,0
919,1067,1
920,289,1
921,187,3
922,674,0
923,1383,3
924,953,3
925,458,0
926,1071,4
927,1735,-1
928,98,0
929,628,0
930,2606,5
931,295,0
932,445,0
933,96,0
934,787,1
935,701,4
936,275,0
937,474,1
938,820,6
939,71,0
940,438,0
941,799,0
942,139,0
943,458,1
944,951,3
945,474,3
946,549,0
947,106,0
948,509,2
949,491,0
950,334,2
951,181,0
952,1305,1
953,482,34
954,158,0
955,609,0
956,190,0
957,424,4
958,596,3
959,1657,4
960,99,0
961,264,1
962,991,3
963,983,3
964,405,1
965,469,1
966,216,0
967,368,1
968,954,1
969,363,1
970,652,1
971,575,0
972,355,1
973,685,4
974,300,0
975,399,0
976,307,0
977,412,8
978,2057,0
979,775,2
980,358,7
981,169,3
982,990,4
983,429,0
984,1352,1
985,754,75
986,1159,1
987,342,1
988,581,0
989,238,4
990,1050,2
991,778,0
992,1117,1
993,448,1
994,555,1
995,1001,1
996,391,0
997,586,1
998,1296,0
999,134,1
1000,599,0
1001,1034,1
1002,687,0
1003,113,1
1004,2124,5
1005,1723,0
1006,531,1
1007,1938,2
1008,302,0
1009,598,0
1010,812,2
1011,185,0
1012,1565,0
1013,461,3
1014,1837,1
1015,358,3
1016,749,1
1017,3111,0
1018,1305,2
1019,487,1
1020,695,0
1021,105,0
1022,160,12
1023,405,0
1024,389,0
1025,505,2
1026,673,1
1027,330,0
1028,919,0
1029,382,0
1030,157,1
1031,931,2
1032,466,3
1033,482,2
1034,1063,5
1035,1230,9
1036,300,2
1037,152,0
1038,244,2
1039,119,0
1040,1335,55
1041,131,1
1042,220,-1
1043,1355,0
1044,589,3
1045,213,5
1046,919,0
1047,275,20
1048,1304,0
1049,441,0
1050,532,3
1051,149,1
1052,418,1
1053,909,2
1054,864,3
1055,1033,1
1056,882,2
1057,605,2
1058,824,0
1059,296,0
1060,183,0
1061,831,0
1062,966,1
1063,1676,1
1064,303,1
1065,520,1
1066,361,0
1067,1097,3
1068,180,3
1069,551,1
1070,699,7
1071,186,3
1072,368,52
1073,209,1
1074,757,2
1075,292,2
1076,136,-1
1077,485,1
1078,385,2
1079,1228,1
1080,569,0
1081,527,3
1082,876,0
1083,1313,1
1084,613,0
1085,521,1
1086,247,6
1087,170,3
1088,1523,0
1089,716,0
1090,513,0
1091,238,0
1092,366,0
1093,312,4
1094,405,1
1095,1316,1
1096,261,4
1097,2376,0
1098,1608,2
1099,733,1
1100,846,0
1101,3383,0
1102,373,3
1103,73,0
1104,607,4
1105,1054,3
1106,941,2
1107,655,0
1108,303,2
1109,194,0
1110,379,3
1111,202,0
1112,920,0
1113,386,1
1114,727,0
1115,488,3
1116,411,0
1117,1126,2
1118,1900,0
1119,768,2
1120,416,79
1121,144,0
1122,308,2
1123,398,0
1124,2388,0
1125,2386,7
1126,213,0
1127,135,1
1128,3439,3
1129,1145,45
1130,386,0
1131,540,-1
1132,454,1
1133,271,1
1134,886,3
1135,282,0
1136,793,0
1137,733,5
1138,495,3
1139,539,11
1140,64,0
1141,301,1
1142,1605,0
1143,1175,1
1144,422,0
1145,1003,12
